id,label,house
Danwell-Frey,Danwell Frey,Misc
Dareon,Dareon,Misc
Daryn-Hornwood,Daryn Hornwood,Misc
Daven-Lannister,Daven Lannister,Lannister
Davos-Seaworth,Davos Seaworth,Misc
Denyo-Terys,Denyo Terys,Misc
Denys-Darklyn,Denys Darklyn,Misc
Denys-Mallister,Denys Mallister,Misc
Denzo-Dhan,Denzo Dhan,Misc
Desmond,Desmond,Misc
Desmond-Grell,Desmond Grell,Misc
Devan-Seaworth,Devan Seaworth,Misc
Dick-Crabb,Dick Crabb,Misc
Dick-Follard,Dick Follard,Misc
Dick-Straw,Dick Straw,Misc
Dirk,Dirk,Misc
Dobber,Dobber,Misc
Dolf,Dolf,Misc
Donal-Noye,Donal Noye,Misc
Donella-Hornwood,Donella Hornwood,Misc
Donnel-Waynwood,Donnel Waynwood,Misc
Dontos-Hollard,Dontos Hollard,Misc
Doran-Martell,Doran Martell,Martell
Dorcas,Dorcas,Misc
Doreah,Doreah,Misc
Draqaz,Draqaz,Misc
Drennan,Drennan,Misc
Drogo,Drogo,Misc
Dryn,Dryn,Misc
Dunsen,Dunsen,Misc
Dunstan-Drumm,Dunstan Drumm,Misc
Dywen,Dywen,Misc
Ebben,Ebben,Misc
Eddard-Stark,Eddard Stark,Stark
Eddison-Tollett,Eddison Tollett,Misc
Edmure-Tully,Edmure Tully,Tully
Edric-Storm,Edric Storm,Misc
Edwyn-Frey,Edwyn Frey,Misc
Elbert-Arryn,Elbert Arryn,Arryn
Elder-Brother,Elder Brother,Misc
Eldon-Estermont,Eldon Estermont,Misc
Elia-Martell,Elia Martell,Martell
Elinor-Tyrell,Elinor Tyrell,Tyrell
Ellaria-Sand,Ellaria Sand,Misc
Elmar-Frey,Elmar Frey,Misc
Elys-Waynwood,Elys Waynwood,Misc
Emmett,Emmett,Misc
Emmon-Cuy,Emmon Cuy,Misc
Emmon-Frey,Emmon Frey,Misc
Emmond,Emmond,Misc
Emrick,Emrick,Misc
Eon-Hunter,Eon Hunter,Misc
Eroeh,Eroeh,Misc
Errok,Errok,Misc
Euron-Greyjoy,Euron Greyjoy,Greyjoy
Eustace-Brune,Eustace Brune,Misc
Ezzara,Ezzara,Misc
Falyse-Stokeworth,Falyse Stokeworth,Misc
Farlen,Farlen,Misc
Florian-the-Fool,Florian the Fool,Misc
Fogo,Fogo,Misc
Forley-Prester,Forley Prester,Misc
Franklyn-Flowers,Franklyn Flowers,Misc
Franklyn-Fowler,Franklyn Fowler,Misc
Frenken,Frenken,Misc
Frenya,Frenya,Misc
Fulk,Fulk,Misc
Galazza-Galare,Galazza Galare,Misc
Galbart-Glover,Galbart Glover,Misc
Galyeon-of-Cuy,Galyeon of Cuy,Misc
Gared,Gared,Misc
Garin-(orphan),Garin (orphan),Misc
