id,label,house
Mirri-Maz-Duur,Mirri Maz Duur,Misc
Monford-Velaryon,Monford Velaryon,Misc
Moon-Boy,Moon Boy,Misc
Mors-Umber,Mors Umber,Misc
Murch,Murch,Misc
Myrcella-Baratheon,Myrcella,Baratheon
Nan,Nan,Misc
Olyvar-Frey,Olyvar Frey,Misc
Osfryd-Kettleblack,Osfryd Kettleblack,Misc
Osha,Osha,Misc
Osmund-Kettleblack,Osmund Kettleblack,Misc
Osney-Kettleblack,Osney Kettleblack,Misc
Ottyn-Wythers,Ottyn Wythers,Misc
Palla,Palla,Misc
Patchface,Patchface,Misc
Paxter-Redwyne,Paxter Redwyne,Misc
Perwyn-Frey,Perwyn Frey,Misc
Petyr-Baelish,Littlefinger,Misc
Podrick-Payne,Podrick Payne,Misc
Polliver,Polliver,Misc
Pono,Pono,Misc
Poxy-Tym,Poxy Tym,Misc
Praed,Praed,Misc
Preston-Greenfield,Preston Greenfield,Misc
Pyat-Pree,Pyat Pree,Misc
Pycelle,Pycelle,Misc
Pylos,Pylos,Misc
Qhorin-Halfhand,Qhorin Halfhand,Misc
Quaithe,Quaithe,Misc
Qyburn,Qyburn,Misc
Rafford,Rafford,Misc
Rakharo,Rakharo,Misc
Ramsay-Snow,Ramsay Snow,Misc
Randyll-Tarly,Randyll Tarly,Misc
Rattleshirt,Rattleshirt,Misc
Reek,Reek,Misc
Renly-Baratheon,Renly,Baratheon
Rhaegar-Targaryen,Rhaegar,Targaryen
Rhaenys-Targaryen,Rhaenys Targaryen,Targaryen
Rickard-Karstark,Rickard Karstark,Misc
Rickon-Stark,Rickon Stark,Stark
Robar-Royce,Robar Royce,Misc
Robb-Stark,Robb,Stark
Robert-Arryn,Robert Arryn,Arryn
Robert-Baratheon,Robert,Baratheon
Robett-Glover,Robett Glover,Misc
Rodrik-Cassel,Rodrik Cassel,Misc
Roose-Bolton,Roose Bolton,Misc
Rorge,Rorge,Misc
Salladhor-Saan,Salladhor Saan,Misc
Samwell-Tarly,Samwell,Misc
Sandor-Clegane,Sandor Clegane,Misc
Sansa-Stark,Sansa,Stark
Selwyn-Tarth,Selwyn Tarth,Misc
Selyse-Florent,Selyse,Misc
Shadd,Shadd,Misc
Shae,Shae,Misc
Shagga,Shagga,Misc
Shireen-Baratheon,Shireen,Baratheon
Squint,Squint,Misc
Stafford-Lannister,Stafford Lannister,Lannister
Stannis-Baratheon,Stannis,Baratheon
Steffon-Baratheon,Steffon Baratheon,Baratheon
Steffon-Varner,Steffon Varner,Misc
Stonesnake,Stonesnake,Misc
Stygg,Stygg,Misc
Syrio-Forel,Syrio Forel,Misc
Tanda-Stokeworth,Tanda Stokeworth,Misc
Tarber,Tarber,Misc
Theon-Greyjoy,Theon,Greyjoy
Thoren-Smallwood,Thoren Smallwood,Misc
Thoros-of-Myr,Thoros of Myr,Misc
Tickler,Tickler,Misc
Timett,Timett,Misc
Tommen-Baratheon,Tommen,Baratheon
Trystane-Martell,Trystane Martell,Martell
Tyrion-Lannister,Tyrion,Lannister
Tysha,Tysha,Misc
Tywin-Lannister,Tywin,Lannister
Urzen,Urzen,Misc
Utherydes-Wayn,Utherydes Wayn,Misc
Vargo-Hoat,Vargo Hoat,Misc
Varys,Varys,Misc
Victarion-Greyjoy,Victarion Greyjoy,Greyjoy
Visenya-Targaryen,Visenya Targaryen,Targaryen
Viserys-Targaryen,Viserys,Targaryen
Vylarr,Vylarr,Misc
Vyman,Vyman,Misc
Walder-Frey,Walder Frey,Misc
Walder-Frey-(son-of-Jammos),Walder Frey (son of Jamos),Misc
Walder-Frey-(son-of-Merrett),Walder Frey (son of Merrett),Misc
Weasel,Weasel,Misc
Weese,Weese,Misc
Wendel-Manderly,Wendel Manderly,Misc
Werlag,Werlag,Misc
Wex-Pyke,Wex Pyke,Misc
Woth,Woth,Misc
Wyman-Manderly,Wyman Manderly,Misc
Xaro-Xhoan-Daxos,Xaro Xhoan Daxos,Misc
Ygritte,Ygritte,Misc
Yoren,Yoren,Misc
