interaction_id,source,target,weight,book
1,Addam-Marbrand,Brynden-Tully,3,4
2,Addam-Marbrand,Cersei-Lannister,3,4
3,Addam-Marbrand,Jaime-Lannister,8,4
4,Addam-Marbrand,Lyle-Crakehall,4,4
5,Aegon-Targaryen-(son-of-Rhaegar),Rhaegar-Targaryen,3,4
6,Aegon-V-Targaryen,Aemon-Targaryen-(Maester-Aemon),3,4
7,Aemon-Targaryen-(Maester-Aemon),Alleras,4,4
8,Aemon-Targaryen-(Maester-Aemon),Clydas,5,4
9,Aemon-Targaryen-(Maester-Aemon),Dareon,5,4
10,Aemon-Targaryen-(Maester-Aemon),Gilly,17,4
11,Aemon-Targaryen-(Maester-Aemon),Jon-Snow,17,4
12,Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,41,4
13,Aeron-Greyjoy,Asha-Greyjoy,7,4
14,Aeron-Greyjoy,Baelor-Blacktyde,4,4
15,Aeron-Greyjoy,Balon-Greyjoy,17,4
16,Aeron-Greyjoy,Dunstan-Drumm,4,4
17,Aeron-Greyjoy,Emmond,4,4
18,Aeron-Greyjoy,Euron-Greyjoy,23,4
19,Aeron-Greyjoy,Gormond-Goodbrother,6,4
20,Aeron-Greyjoy,Gorold-Goodbrother,10,4
21,Aeron-Greyjoy,Greydon-Goodbrother,4,4
22,Aeron-Greyjoy,Meldred-Merlyn,7,4
23,Aeron-Greyjoy,Murenmure,11,4
24,Aeron-Greyjoy,Rus,5,4
25,Aeron-Greyjoy,Theon-Greyjoy,3,4
26,Aeron-Greyjoy,Victarion-Greyjoy,17,4
27,Aerys-II-Targaryen,Barristan-Selmy,4,4
28,Aerys-II-Targaryen,Cersei-Lannister,3,4
29,Aerys-II-Targaryen,Denys-Darklyn,4,4
30,Aerys-II-Targaryen,Elbert-Arryn,3,4
31,Aerys-II-Targaryen,Jaime-Lannister,6,4
32,Aerys-II-Targaryen,Owen-Merryweather,3,4
33,Aerys-II-Targaryen,Rhaegar-Targaryen,5,4
34,Aerys-II-Targaryen,Robert-Baratheon,3,4
35,Aerys-II-Targaryen,Tywin-Lannister,10,4
36,Alla-Tyrell,Elinor-Tyrell,8,4
37,Alla-Tyrell,Margaery-Tyrell,7,4
38,Alla-Tyrell,Megga-Tyrell,10,4
39,Alla-Tyrell,Osney-Kettleblack,3,4
40,Alleras,Armen,5,4
41,Alleras,Leo-Tyrell,7,4
42,Alleras,Marwyn,3,4
43,Alleras,Mollander,7,4
44,Alleras,Pate-(novice),8,4
45,Alleras,Roone,6,4
46,Alleras,Samwell-Tarly,8,4
47,Alys-Arryn,Elys-Waynwood,4,4
48,Alys-Arryn,Jon-Arryn,3,4
49,Amerei-Frey,Jaime-Lannister,6,4
50,Amerei-Frey,Lancel-Lannister,10,4
51,Amerei-Frey,Lyle-Crakehall,4,4
52,Anders-Yronwood,Quentyn-Martell,4,4
53,Andrey-Dalt,Arianne-Martell,10,4
54,Andrey-Dalt,Garin-(orphan),11,4
55,Andrey-Dalt,Myrcella-Baratheon,4,4
56,Andrey-Dalt,Sylva-Santagar,8,4
57,Andrey-Dalt,Tyene-Sand,4,4
58,Anya-Waynwood,Benedar-Belmore,4,4
59,Anya-Waynwood,Gilwood-Hunter,6,4
60,Anya-Waynwood,Harrold-Hardyng,6,4
61,Anya-Waynwood,Horton-Redfort,7,4
62,Anya-Waynwood,Petyr-Baelish,10,4
63,Anya-Waynwood,Symond-Templeton,6,4
64,Anya-Waynwood,Yohn-Royce,5,4
65,Areo-Hotah,Arianne-Martell,17,4
66,Areo-Hotah,Arys-Oakheart,7,4
67,Areo-Hotah,Caleotte,7,4
68,Areo-Hotah,Doran-Martell,32,4
69,Areo-Hotah,Myrcella-Baratheon,5,4
70,Areo-Hotah,Obara-Sand,7,4
71,Areo-Hotah,Oberyn-Martell,3,4
72,Arianne-Martell,Arys-Oakheart,19,4
73,Arianne-Martell,Cedra,8,4
74,Arianne-Martell,Doran-Martell,15,4
75,Arianne-Martell,Franklyn-Fowler,3,4
76,Arianne-Martell,Garin-(orphan),18,4
77,Arianne-Martell,Gerold-Dayne,11,4
78,Arianne-Martell,Mellei,3,4
79,Arianne-Martell,Morra,3,4
80,Arianne-Martell,Myrcella-Baratheon,12,4
81,Arianne-Martell,Oberyn-Martell,3,4
