interaction_id,source,target,weight,book
1,Aegon-I-Targaryen,Harren-Hoare,4,2
2,Aegon-I-Targaryen,Nan,3,2
3,Aegon-I-Targaryen,Rhaenys-Targaryen,4,2
4,Aegon-I-Targaryen,Tyrion-Lannister,3,2
5,Aegon-I-Targaryen,Visenya-Targaryen,3,2
6,Aegon-V-Targaryen,Aemon-Targaryen-(Maester-Aemon),3,2
7,Aemon-Targaryen-(Maester-Aemon),Daeron-II-Targaryen,3,2
8,Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,9,2
9,Aemon-Targaryen-(Maester-Aemon),Jon-Snow,11,2
10,Aemon-Targaryen-(Maester-Aemon),Maekar-I-Targaryen,3,2
11,Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,5,2
12,Aenys-Frey,Arya-Stark,6,2
13,Aeron-Greyjoy,Dagmer,5,2
14,Aeron-Greyjoy,Theon-Greyjoy,17,2
15,Aerys-I-Targaryen,Robert-Baratheon,3,2
16,Aerys-II-Targaryen,Eddard-Stark,5,2
17,Aerys-II-Targaryen,Jaime-Lannister,4,2
18,Aerys-II-Targaryen,Rhaegar-Targaryen,4,2
19,Aerys-II-Targaryen,Robert-Baratheon,6,2
20,Aerys-II-Targaryen,Tyrion-Lannister,3,2
21,Aggar,Gariss,3,2
22,Aggar,Gelmarr,3,2
23,Aggar,Gynir,3,2
24,Aggar,Ramsay-Snow,4,2
25,Aggo,Belwas,3,2
26,Aggo,Daenerys-Targaryen,10,2
27,Aggo,Jhogo,12,2
28,Aggo,Jorah-Mormont,4,2
29,Aggo,Rakharo,4,2
30,Alayaya,Dancy,3,2
31,Alayaya,Tyrion-Lannister,3,2
32,Alebelly,Bran-Stark,7,2
33,Alebelly,Hayhead,3,2
34,Alebelly,Jojen-Reed,6,2
35,Alebelly,Mikken,3,2
36,Alester-Florent,Cortnay-Penrose,4,2
37,Alester-Florent,Davos-Seaworth,3,2
38,Alester-Florent,Renly-Baratheon,3,2
39,Alester-Florent,Stannis-Baratheon,5,2
40,Allar-Deem,Janos-Slynt,3,2
41,Allar-Deem,Tyrion-Lannister,4,2
42,Allard-Seaworth,Davos-Seaworth,5,2
43,Allard-Seaworth,Marya-Seaworth,5,2
44,Allard-Seaworth,Stannis-Baratheon,3,2
45,Alliser-Thorne,Jeor-Mormont,3,2
46,Alliser-Thorne,Joffrey-Baratheon,4,2
47,Alliser-Thorne,Jon-Snow,3,2
48,Alliser-Thorne,Tyrion-Lannister,8,2
49,Amabel,Arya-Stark,6,2
50,Amabel,Harra,4,2
51,Amory-Lorch,Arya-Stark,9,2
52,Amory-Lorch,Cersei-Lannister,4,2
53,Amory-Lorch,Chiswyck,4,2
54,Amory-Lorch,Dunsen,3,2
55,Amory-Lorch,Gendry,3,2
56,Amory-Lorch,Gregor-Clegane,7,2
57,Amory-Lorch,Hot-Pie,3,2
58,Amory-Lorch,Ilyn-Payne,4,2
59,Amory-Lorch,Joffrey-Baratheon,7,2
60,Amory-Lorch,Meryn-Trant,5,2
61,Amory-Lorch,Polliver,3,2
62,Amory-Lorch,Rafford,5,2
63,Amory-Lorch,Roose-Bolton,3,2
64,Amory-Lorch,Sandor-Clegane,5,2
65,Amory-Lorch,Tickler,5,2
66,Amory-Lorch,Tywin-Lannister,4,2
67,Amory-Lorch,Vargo-Hoat,7,2
68,Amory-Lorch,Yoren,5,2
69,Ardrian-Celtigar,Monford-Velaryon,5,2
70,Aron-Santagar,Sandor-Clegane,3,2
71,Arwyn-Oakheart,Randyll-Tarly,3,2
72,Arya-Stark,Beric-Dondarrion,5,2
73,Arya-Stark,Biter,10,2
74,Arya-Stark,Bran-Stark,10,2
75,Arya-Stark,Cersei-Lannister,7,2
76,Arya-Stark,Chiswyck,8,2
77,Arya-Stark,Dobber,4,2
78,Arya-Stark,Dunsen,3,2
79,Arya-Stark,Eddard-Stark,6,2
80,Arya-Stark,Gendry,36,2
81,Arya-Stark,Gregor-Clegane,4,2
82,Arya-Stark,Harra,3,2
83,Arya-Stark,Harren-Hoare,7,2
84,Arya-Stark,Hot-Pie,51,2
85,Arya-Stark,Jaime-Lannister,3,2
86,Arya-Stark,Jaqen-Hghar,25,2
87,Arya-Stark,Joffrey-Baratheon,4,2
88,Arya-Stark,Jon-Snow,13,2
89,Arya-Stark,Koss,3,2
90,Arya-Stark,Lommy-Greenhands,31,2
91,Arya-Stark,Nan,5,2
92,Arya-Stark,Polliver,3,2
93,Arya-Stark,Praed,3,2
94,Arya-Stark,Rafford,5,2
95,Arya-Stark,Rickon-Stark,5,2
96,Arya-Stark,Robb-Stark,15,2
97,Arya-Stark,Robert-Baratheon,4,2
98,Arya-Stark,Roose-Bolton,13,2
99,Arya-Stark,Rorge,13,2
100,Arya-Stark,Sansa-Stark,20,2
101,Arya-Stark,Syrio-Forel,5,2
102,Arya-Stark,Tyrion-Lannister,4,2
103,Arya-Stark,Tywin-Lannister,13,2
104,Arya-Stark,Vargo-Hoat,6,2
105,Arya-Stark,Weasel,10,2
106,Arya-Stark,Weese,15,2
107,Arya-Stark,Woth,3,2
108,Arya-Stark,Yoren,28,2
109,Arys-Oakheart,Joffrey-Baratheon,6,2
110,Arys-Oakheart,Myrcella-Baratheon,4,2
111,Arys-Oakheart,Sansa-Stark,3,2
112,Asha-Greyjoy,Balon-Greyjoy,3,2
113,Asha-Greyjoy,Dagmer,5,2
114,Asha-Greyjoy,Theon-Greyjoy,35,2
115,Asha-Greyjoy,Wex-Pyke,3,2
