interaction_id,source,target,weight,book
1,Addam-Marbrand,Jaime-Lannister,3,1
2,Addam-Marbrand,Tywin-Lannister,6,1
3,Aegon-I-Targaryen,Daenerys-Targaryen,5,1
4,Aegon-I-Targaryen,Eddard-Stark,4,1
5,Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,4,1
6,Aemon-Targaryen-(Maester-Aemon),Bowen-Marsh,4,1
7,Aemon-Targaryen-(Maester-Aemon),Chett,9,1
8,Aemon-Targaryen-(Maester-Aemon),Clydas,5,1
9,Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,13,1
10,Aemon-Targaryen-(Maester-Aemon),Jon-Snow,34,1
11,Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,5,1
12,Aerys-II-Targaryen,Brandon-Stark,4,1
13,Aerys-II-Targaryen,Eddard-Stark,10,1
14,Aerys-II-Targaryen,Gerold-Hightower,3,1
15,Aerys-II-Targaryen,Jaime-Lannister,5,1
16,Aerys-II-Targaryen,Jon-Arryn,3,1
17,Aerys-II-Targaryen,Robert-Baratheon,12,1
18,Aggo,Daenerys-Targaryen,11,1
19,Aggo,Drogo,6,1
20,Aggo,Jhogo,4,1
21,Aggo,Jorah-Mormont,5,1
22,Aggo,Quaro,3,1
23,Aggo,Rakharo,7,1
24,Albett,Halder,3,1
25,Albett,Jon-Snow,5,1
26,Albett,Rast,3,1
27,Alliser-Thorne,Bowen-Marsh,3,1
28,Alliser-Thorne,Grenn,3,1
29,Alliser-Thorne,Halder,4,1
30,Alliser-Thorne,Jeor-Mormont,10,1
31,Alliser-Thorne,Jon-Snow,32,1
32,Alliser-Thorne,Pypar,4,1
33,Alliser-Thorne,Rast,5,1
34,Alliser-Thorne,Samwell-Tarly,8,1
35,Alliser-Thorne,Tyrion-Lannister,7,1
36,Alyn,Eddard-Stark,11,1
37,Alyn,Harwin,6,1
38,Alyn,Jory-Cassel,8,1
39,Alyn,Robert-Baratheon,4,1
40,Alyn,Tomard,3,1
41,Arthur-Dayne,Gerold-Hightower,4,1
42,Arya-Stark,Benjen-Stark,3,1
43,Arya-Stark,Bran-Stark,14,1
44,Arya-Stark,Catelyn-Stark,5,1
45,Arya-Stark,Cersei-Lannister,12,1
46,Arya-Stark,Desmond,3,1
47,Arya-Stark,Eddard-Stark,30,1
48,Arya-Stark,Ilyn-Payne,5,1
49,Arya-Stark,Jeyne-Poole,10,1
